run,protocol,all-alive,kill-2-primary,kill-2-replica,kill-both
1,mirror,6.894,7.495,6.916,7.254
2,mirror,6.426,7.298,5.424,5.999
3,mirror,7.346,7.83,7.759,6.659
4,mirror,6.399,5.758,8.316,6.159
5,mirror,7.527,6.564,6.164,5.695
6,mirror,8.277,6.37,6.745,6.124
7,mirror,6.225,6.895,8.578,7.426
8,mirror,8.161,7.554,6.146,6.043
9,mirror,7.227,6.776,6.904,6.797
10,mirror,8.403,6.65,7.781,6.027
1,parallel,8.290,6.425,6.559,6.355
2,parallel,5.660,5.261,6.823,7.58
3,parallel,6.313,5.521,6.058,7.327
4,parallel,6.738,6.971,6.007,6.684
5,parallel,5.416,7.119,5.528,6.657
6,parallel,5.468,6.968,5.349,6.655
7,parallel,7.14,7.77,6.725,6.016
8,parallel,6.262,7.079,6.847,6.175
9,parallel,6.104,6.524,7.384,7.067
10,parallel,7.256,6.704,7.279,7.93
